"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
7c0d4298-696b-4754-b752-5fe70037a02f,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,e583b22f-1dfa-4020-9452-3f5293dbce58,"#N/A","#N/A",EP-025
7f19f1b9-9064-46d7-b683-b25eb8bd87eb,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,0dc3baf2-ca0c-4fe3-9941-2782e79b8be1,"#N/A","#N/A",EP-014
808306af-af41-4cca-b0f3-869c589bbd40,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,2f7c9dd5-cd19-498a-98f2-33a5eef22371,"#N/A","#N/A","#N/A"
81df2201-64f0-48b4-8bb4-95835df9bfe3,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,824361e8-ff08-4414-bb05-b7fe11572363,"#N/A","#N/A",EP-025
87c8d131-41c2-4598-9806-d8018ae3e652,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,c97ff48d-60b5-4522-9355-4d14d0737171,"#N/A","#N/A",Quote
8a669deb-da63-401d-b863-bb366b703ef5,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,3e185d8d-b290-47b9-a46b-c9373ac198f3,"#N/A","#N/A",EP-013
8c4aff46-33b3-4cf7-8317-2093ffca3b8e,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,a15b1a9d-8176-480e-b010-bf141866a1ab,"#N/A","#N/A",EP-025
8e339718-e250-4449-a836-728b99196b36,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,7c44cabd-e7a4-466b-911d-c50cd736e054,"#N/A","#N/A",EP-025
95db80d9-bfc1-4eb9-97f2-6946c917131b,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,a15b1a9d-8176-480e-b010-bf141866a1ab,"#N/A","#N/A",Quote
968a5ed4-a8f8-4f2b-8f06-c3e9be68c229,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,0dc3baf2-ca0c-4fe3-9941-2782e79b8be1,"#N/A","#N/A",EP-025
9e9d78a5-42dc-499f-9434-23e04f643e4e,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,8517b4b5-a80b-4029-8817-0389b110cf8e,"#N/A","#N/A",EP-014
